date,product_id,category,units_sold,unit_price,value,region,channel
2024-01-01,P009,Home Appliances,47,392.97,18469.59,Hokkaido,Amazon
2024-01-01,P003,Fashion,65,79.55,5170.75,Osaka,Amazon
2024-01-02,P001,Electronics,44,237.48,10449.12,Hokkaido,Amazon
2024-01-02,P018,Toys,71,54.26,3852.46,Osaka,Retail
2024-01-02,P017,Sports,63,58.01,3654.63,Tokyo,Amazon
2024-01-04,P001,Electronics,45,496.62,22347.9,Osaka,Retail
2024-01-05,P006,Toys,114,52.72,6010.08,Hokkaido,Amazon
2024-01-05,P012,Toys,129,51.69,6668.01,Hokkaido,Amazon
2024-01-06,P015,Home Appliances,53,244.86,12977.58,Kyoto,Website
2024-01-06,P009,Home Appliances,34,265.66,9032.44,Fukuoka,Amazon
2024-01-07,P016,Beauty,264,31.87,8413.68,Fukuoka,Retail
2024-01-08,P015,Home Appliances,25,297.32,7433.0,Osaka,Mercari
2024-01-08,P005,Beauty,123,35.29,4340.67,Tokyo,Amazon
2024-01-08,P002,Home Appliances,35,210.22,7357.7,Tokyo,Mercari
2024-01-08,P016,Beauty,148,44.22,6544.56,Tokyo,Amazon
2024-01-08,P007,Electronics,58,276.08,16012.64,Osaka,Mercari
2024-01-09,P003,Fashion,195,44.77,8730.15,Kyoto,Website
2024-01-09,P005,Beauty,243,27.4,6658.2,Hokkaido,Website
2024-01-09,P016,Beauty,133,26.43,3515.19,Kyoto,Mercari
2024-01-10,P007,Electronics,67,587.48,39361.16,Kyoto,Amazon
2024-01-11,P009,Home Appliances,68,188.87,12843.16,Tokyo,Amazon
2024-01-11,P001,Electronics,44,435.32,19154.08,Hokkaido,Retail
2024-01-13,P004,Sports,84,85.9,7215.6,Hokkaido,Website
2024-01-13,P013,Electronics,59,438.36,25863.24,Hokkaido,Website
2024-01-13,P001,Electronics,46,594.12,27329.52,Fukuoka,Website
2024-01-14,P016,Beauty,202,34.44,6956.88,Tokyo,Retail
2024-01-14,P018,Toys,122,48.17,5876.74,Osaka,Retail
2024-01-15,P017,Sports,71,95.15,6755.65,Osaka,Amazon
2024-01-18,P007,Electronics,74,486.41,35994.34,Hokkaido,Mercari
2024-01-18,P010,Beauty,258,44.88,11579.04,Nagoya,Retail
2024-01-18,P001,Electronics,37,472.11,17468.07,Kyoto,Website
2024-01-20,P011,Sports,54,98.86,5338.44,Nagoya,Website
2024-01-21,P012,Toys,105,30.69,3222.45,Osaka,Website
2024-01-22,P016,Beauty,142,48.41,6874.22,Nagoya,Mercari
2024-01-22,P014,Fashion,155,54.8,8494.0,Fukuoka,Amazon
2024-01-22,P004,Sports,133,56.06,7455.98,Nagoya,Amazon
2024-01-23,P003,Fashion,108,33.21,3586.68,Nagoya,Amazon
2024-01-23,P003,Fashion,93,72.64,6755.52,Hokkaido,Retail
2024-01-23,P010,Beauty,271,31.97,8663.87,Kyoto,Website
2024-01-24,P004,Sports,109,117.67,12826.03,Tokyo,Mercari
2024-01-24,P019,Electronics,67,371.37,24881.79,Fukuoka,Website
2024-01-24,P011,Sports,114,55.72,6352.08,Fukuoka,Retail
2024-01-25,P011,Sports,95,61.16,5810.2,Osaka,Mercari
2024-01-26,P002,Home Appliances,40,332.43,13297.2,Fukuoka,Amazon
2024-01-27,P002,Home Appliances,29,207.26,6010.54,Nagoya,Mercari
2024-01-27,P003,Fashion,186,98.46,18313.56,Osaka,Retail
2024-01-28,P008,Fashion,147,90.65,13325.55,Nagoya,Mercari
2024-01-28,P010,Beauty,229,45.25,10362.25,Hokkaido,Retail
2024-01-29,P002,Home Appliances,34,364.91,12406.94,Hokkaido,Retail
2024-01-31,P007,Electronics,78,571.57,44582.46,Kyoto,Retail
2024-02-01,P017,Sports,108,142.56,15396.48,Kyoto,Retail
2024-02-01,P002,Home Appliances,85,211.21,17952.85,Hokkaido,Amazon
2024-02-02,P010,Beauty,110,30.94,3403.4,Nagoya,Retail
2024-02-02,P018,Toys,168,33.72,5664.96,Tokyo,Mercari
