transaction_id,transaction_date,store_id,customer_id,product_id,quantity,sales_amount,customer_nationality
T000001,2024-01-01 00:00:00,OSAKA_01,C1882,P003,2,3308.88,KR
T000002,2024-01-01 01:00:00,NAGOYA_01,C5408,P005,2,7783.27,JP
T000003,2024-01-01 02:00:00,TOKYO_01,C5068,P005,4,6730.66,US
T000004,2024-01-01 03:00:00,OSAKA_01,C4277,P001,3,11071.05,JP
T000005,2024-01-01 04:00:00,OSAKA_01,C9566,P004,2,4015.03,US
T000006,2024-01-01 05:00:00,NAGOYA_01,C8951,P001,1,9120.23,JP
T000007,2024-01-01 06:00:00,TOKYO_01,C5690,P002,3,13315.93,JP
T000008,2024-01-01 07:00:00,TOKYO_01,C5595,P005,1,13704.83,KR
T000009,2024-01-01 08:00:00,OSAKA_01,C5559,P004,1,14402.38,JP
T000010,2024-01-01 09:00:00,TOKYO_02,C8291,P001,2,11712.29,AU
T000011,2024-01-01 10:00:00,OSAKA_01,C9160,P001,4,13636.82,AU
T000012,2024-01-01 11:00:00,OSAKA_01,C1112,P002,4,3900.7,AU
T000013,2024-01-01 12:00:00,OSAKA_01,C6131,P001,1,3364.92,AU
T000014,2024-01-01 13:00:00,OSAKA_01,C4197,P003,2,594.08,JP
T000015,2024-01-01 14:00:00,NAGOYA_01,C1139,P005,1,10749.24,JP
T000016,2024-01-01 15:00:00,TOKYO_01,C2424,P001,3,14093.27,UK
T000017,2024-01-01 16:00:00,NAGOYA_01,C3949,P001,1,3210.56,IN
T000018,2024-01-01 17:00:00,NAGOYA_01,C4168,P002,2,9735.68,JP
T000019,2024-01-01 18:00:00,NAGOYA_01,C9708,P003,1,11323.67,JP
T000020,2024-01-01 19:00:00,OSAKA_01,C7043,P001,2,13950.41,IN
T000021,2024-01-01 20:00:00,TOKYO_02,C7989,P005,4,9879.47,KR
T000022,2024-01-01 21:00:00,TOKYO_01,C8236,P005,2,14569.26,KR
T000023,2024-01-01 22:00:00,TOKYO_02,C7261,P001,3,5497.76,UK
T000024,2024-01-01 23:00:00,NAGOYA_01,C1887,P003,2,5573.96,JP
T000025,2024-01-02 00:00:00,NAGOYA_01,C4104,P005,3,8373.68,UK
T000026,2024-01-02 01:00:00,TOKYO_02,C1049,P005,3,6060.78,UK
T000027,2024-01-02 02:00:00,TOKYO_02,C4951,P003,1,520.67,JP
T000028,2024-01-02 03:00:00,TOKYO_02,C4560,P003,3,11110.69,JP
T000029,2024-01-02 04:00:00,NAGOYA_01,C1018,P001,2,11399.9,JP
T000030,2024-01-02 05:00:00,NAGOYA_01,C5821,P004,4,11331.13,US
T000031,2024-01-02 06:00:00,TOKYO_01,C7340,P002,2,5502.8,JP
T000032,2024-01-02 07:00:00,TOKYO_01,C9058,P004,4,8073.2,JP
